title, alternative_title, certification, country, production_year, language, subtitle_language, length,	print_source, url
"The Help",NULL,"CFF-12A","United States","2011","English",NULL,"146",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-help/"
"FC Chechnya & Fungus (Svamp)",NULL,"CFF-15","Austria; Sweden","2011","German, Russian; Swedish","English","78","Globalistan Films; Dach","http://www.cambridgefilmfestival.org.uk/films/2011/fc-chechnya-70mfungus-svamp-8m/"
"Nature's Way: Charlie and Lola and Tinga Tinga Tales",NULL,"U","United Kingdom","2007","English",NULL,"45","Classic Media Distribution","http://www.cambridgefilmfestival.org.uk/films/2011/natures-way-charlie-and-lola-and-tinga-tinga/"
"Dimensions: A Line, A Loop, A Tangle of Thread",NULL,"CFF-12A","United Kingdom","2011","English",NULL,"99","Scultptures of Dazzling Complexity","http://www.cambridgefilmfestival.org.uk/films/2011/dimensions-a-line-a-loop-a-tangle-of/"
"Rembrant Fecit 1669",NULL,"15","Netherlands","1977","Dutch","English","120","StellingFilms","http://www.cambridgefilmfestival.org.uk/films/2011/rembrant-fecit-1669/"
"Zodiac",NULL,"15","United States","2007",,,"158",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/zodiac/"
"The Illusionist (1984)",NULL,"CFF-15","Netherlands","1984","Dutch","English","90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-illusionist-1984/"
"El Bulli",NULL,"CFF-PG","Germany","2011","Catalan, French, English","English","108","Autlook Films","http://www.cambridgefilmfestival.org.uk/films/2011/el-bulli/"
"The Woman",NULL,"18","United States","2011","English",NULL,"100",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-woman/"
"The Nine Muses",NULL,"CFF-15","United Kingdom","2010","English",NULL,"92",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-nine-muses/"
"Don't Be Afraid of the Dark",NULL,"CFF-18","USA/Australia/Mexico","2011","English",NULL,"99","Studio Canal UK","http://www.cambridgefilmfestival.org.uk/films/2011/dont-be-afraid-of-the-dark/"
"Irreversible",NULL,"18","France","2000","French","English","97","Tartan Films","http://www.cambridgefilmfestival.org.uk/films/2011/irreversible/"
"The Lion King (3D)",NULL,"U","United States","2011","English",NULL,"89",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-lion-king-3d/"
"Beatboxing - The Fifth Element of Hip Hop & Ben Is Back",NULL,"CFF-15","USA; Israel","2011","English; Hebrew","English","81","Eclectrix; maysegal@gmail.com","http://www.cambridgefilmfestival.org.uk/films/2011/beatboxing-the-fifth-element-of-hip-hop/"
"Romanian New Wave Shorts",NULL,"CFF-15","Romania","2011","Romanian","English","97",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/romanian-new-wave-shorts/"
"Magdalene Street Screenings",NULL,"CFF-U","Various","2011","Various",NULL,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/magdalene/"
"Gerhard Richter - Painting",NULL,"CFF-15","Germany","2011","German","English","97","Soda Pictures","http://www.cambridgefilmfestival.org.uk/films/2011/gerhard-richter-painting/"
"Midnight in Paris",NULL,"CFF-12A","Spain, USA","2011","English",NULL,"100","Warner Bros","http://www.cambridgefilmfestival.org.uk/films/2011/midnight-in-paris/"
"Intimate Grammar",NULL,"CFF-15","Israel","2010","Hebrew","English","110","Films Boutique","http://www.cambridgefilmfestival.org.uk/films/2011/intimate-grammar/"
"A Useful Life (La Vida Útil) & The Ultimate Survivor",NULL,"CFF-12A","Uruguay; UK","2010","Spanish; English","English","126","Dogwoof; Picture Palace","http://www.cambridgefilmfestival.org.uk/films/2011/a-useful-life-the-ultimate/"
"Tomboy",NULL,"15","France","2011","French","English","85",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/tomboy/"
"Street Kids United",NULL,"CFF-U","United Kingdom","2010","English",NULL,"75","Momentum Arts","http://www.cambridgefilmfestival.org.uk/films/2011/street-kids-united/"
"The Day the Earth Caught Fire",NULL,"PG","United Kingdom","1961",,,"98",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-day-the-earth-caught-fire/"
"The Poll Diaries",NULL,"CFF-15","Germany","2010","German","English","134",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-poll-diaries/"
"Resistance",NULL,"CFF-15","United Kingdom","2011","English",NULL,"92","Metrodome","http://www.cambridgefilmfestival.org.uk/films/2011/resistance/"
"At Night, They Dance (La Nuit, Elle Dansent)",NULL,"CFF-15","Canada","2011","Arabic","English","80","Autlook Films","http://www.cambridgefilmfestival.org.uk/films/2011/at-night-they-dance-la-nuit-elle-dansent/"
"Black Butterflies",NULL,"CFF-15","Netherlands, South Africa","2011","English","English","100","Bavaria Film","http://www.cambridgefilmfestival.org.uk/films/2011/black-butterflies/"
"The Front Page",NULL,"PG","United States","1974",,,"105",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-front-page/"
"Eleanore and the Timekeeper & Our Ordered Lives",NULL,"CFF-U","USA; UK","2011","English",NULL,"86","Hairless Films","http://www.cambridgefilmfestival.org.uk/films/2011/eleanore-and-the-timekeeper-plus-short/"
"Sleeping Beauty",NULL,"CFF-18","Australia","2011","English",NULL,"101",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/sleeping-beauty/"
"Octonauts - Explore! Rescue! Protect!",NULL,"U","United Kingdom","2010","English",NULL,"45","Chorion","http://www.cambridgefilmfestival.org.uk/films/2011/octonauts-explore-rescue-protect/"
"Jo for Jonathan","Jo Pour Jonathan","CFF-15","Canada","2010","French","English","78","Films Boutique","http://www.cambridgefilmfestival.org.uk/films/2011/jo-for-jonathan-jo-pour-jonathan/"
"Jess + Moss",NULL,"CFF-15","United States","2011","English",NULL,"83","Visit Films","http://www.cambridgefilmfestival.org.uk/films/2011/jess-moss/"
"Jos Stelling In Conversation",NULL,"CFF-15","Netherlands","2011","English, Dutch","English","120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/jos-stelling-in-conversation/"
"EM Media Digital Shorts 1",NULL,"CFF-15","United Kingdom","2011",,,"66",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/em-media-digital-shorts-1/"
"Sprites 10",NULL,"CFF-PG","United Kingdom","2011",,,"65",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/sprites-10/"
"Silent Running",NULL,"U","United States","1972",,,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/silent-running/"
"The Last Projectionist",NULL,"CFF-12A","United Kingdom","2011","English",NULL,"83","Thomas Lawes","http://www.cambridgefilmfestival.org.uk/films/2011/the-last-projectionist/"
"The Paper Will Be Blue",NULL,"CFF-15","Romania","2000","Romanian","English","100",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-paper-will-be-blue/"
"An American in Paris (RE)",NULL,"U","United States","2011","English",NULL,"113","BFI","http://www.cambridgefilmfestival.org.uk/films/2011/an-american-in-paris-re/"
"Tabloid",NULL,"CFF-15","United States","2010","English",NULL,"87",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/tabloid/"
"Mademoiselle Chambon",NULL,"15","France","2009","French","English","101","Axiom","http://www.cambridgefilmfestival.org.uk/films/2011/mademoiselle-chambon/"
"Gibraltar",NULL,"CFF-U","United Kingdom","2011","English, Spanish","English","83","Revolution Films","http://www.cambridgefilmfestival.org.uk/films/2011/gibraltar/"
"Diva Dolorosa  & Cenere",NULL,"CFF-15","Italy","2011","Italian","English","90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/diva-dolorosa-1998-cenere-1916/"
"The Oak (Balanta)",NULL,"CFF-15","Romania","1992","Romanian","English","105",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-oak-balanta-1/"
"Henry Morris plus Faces of Harlow",NULL,"CFF-U","United Kingdom","2011","English",NULL,"60","Stories - Projects in Film","http://www.cambridgefilmfestival.org.uk/films/2011/henry-morris-plus-faces-of-harlow/"
"Zagreb School of Animation",NULL,"CFF-PG","Croatia","2011","Croatian","English","71",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/zagreb-school-of-animation/"
"Short Fusion: Dilating Time",NULL,"CFF-15","UK; Korea; Poland","2011","English, Korean, Polish","English","84",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/short-fusion-dilating-time/"
"Drive",NULL,"18","USA","2011","English",NULL,"95","Icon","http://www.cambridgefilmfestival.org.uk/films/2011/drive/"
"The Greatest Movie Ever Sold",NULL,"12A","United States","2011",,,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-greatest-movie-ever-sold/"
"Wild Side (Donald Cammell's cut)",NULL,"18","United Kingdom","2000","English",NULL,"111",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/donald-cammells-wild-side/"
"Sympathy for Mr Vengeance",NULL,"18","Korea (South)","2002","Korean","English","121",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/sympathy-for-mr-vengeance/"
"All the President's Men",NULL,"15","United States","1976","English",NULL,"138","Warner Bros","http://www.cambridgefilmfestival.org.uk/films/2011/all-the-presidents-men/"
"Short Fusion: Mad World",NULL,"CFF-15","UK; Ireland/Germany; Poland/UK; Luxembourg; Germany","2011","English, Flemish, German","English","94",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/short-fusion-mad-world-1/"
"Bullhead (Rundskop)",NULL,"CFF-18","Belgium","2011","Dutch, French","English","124","Festival Strategies","http://www.cambridgefilmfestival.org.uk/films/2011/bullhead-1/"
"The Disposable Film Festival",NULL,"CFF-15","United Kingdom","2011","English",NULL,"76",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-disposable-film-festival-1/"
"The Bengali Detective",NULL,"CFF-15","United Kingdom","2011","English",NULL,"95","Frequent Flyer Films","http://www.cambridgefilmfestival.org.uk/films/2011/the-bengali-detective/"
"The Lulu Sessions",NULL,"CFF-15","United States","2011","English",NULL,"88","S. Casper Wong","http://www.cambridgefilmfestival.org.uk/films/2011/the-lulu-sessions/"
"The Tartan Terror: Hamish McAlpine in conversation",NULL,"18","United Kingdom","2011","English",NULL,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-tartan-terror-hamish-mcalpine-in-conversation/"
"If Not Us, Who?",NULL,"CFF-15","Germany","2011","German","English","104","Soda Pictures","http://www.cambridgefilmfestival.org.uk/films/2011/if-not-us-who/"
"Forks Over Knives",NULL,"CFF-PG","United States","2011","English",NULL,"96","Monica Beach Media","http://www.cambridgefilmfestival.org.uk/films/2011/forks-over-knives/"
"Short Fusion: Let's Talk About Sex",NULL,"CFF-18","Canada; Japan/USA; USA/UK; UK; France","2011","Japanese, French, English","English","87",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/short-fusion-lets-talk-about-sex-1/"
"The Silver Cliff (O Abismo Prateado)",NULL,"CFF-15","Brazil","2011",,"English","85",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-silver-cliff-o-abismo-prateado/"
"Romantics Anonymous",NULL,"U","France","2011","French","English","80","Picturehouse Entertainment","http://www.cambridgefilmfestival.org.uk/films/2011/romantics-anonymous/"
"Modigliani's Genuine Fake Heads & Water Lilies In Bloom",NULL,"CFF-PG","Italy/France; Norway","2011","Italian, French; Norwegian","English","74","TBC","http://www.cambridgefilmfestival.org.uk/films/2011/modiglianis-genuine-fake-heads-plus-short/"
"Above Us Only Sky",NULL,"CFF-15","Germany","2011","German","English","88","Bavaria Film","http://www.cambridgefilmfestival.org.uk/films/2011/above-us-only-sky/"
"Finding Nemo",NULL,"U","USA","2003","English",NULL,"97",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/finding-nemo/"
"Pirates of the Caribbean: Curse of the Black Pearl",NULL,"12A","USA","2003","English",NULL,"142",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/pirates1/"
"The Lido Picture Show","Cinema at Jesus Green Pool","CFF-U","Various","2011","English",NULL,"110",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/lido/"
"Robin Hood","Robin Hood 1922","PG","USA","1922","English","English","105",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/robinhood1922/"
"Atrocious",NULL,"CFF-18","Spain/Mexico","2010","Spanish","English","75",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/atrocious/"
"Albatross",NULL,"CFF-15","United Kingdom","2011","English",NULL,"90",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/albatross/"
"Philipp",NULL,"CFF-15","Germany","2010","German","English","40",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/philipp/"
"The City Below","Unter Dir Die Stadt","CFF-15","Germany","2010","German","English","110",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/the-city-below/"
"Creative Front: The Price of Storytelling",NULL,"NO CERT","UK","2011","English",NULL,"240",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/creativefrontevent/"
"Afternoon of a Torturer","Dupa-amiaza unui tortionar","CFF-18","Romania","2001","Romanian","English","80","Romanian Film Centre, Bucharest","http://www.cambridgefilmfestival.org.uk/films/2011/afternoonofatorturer/"
"The Forest Prince and The Pig Man & The Stranger",NULL,"CFF-12A","USA; Australia","2011","English",NULL,"81","October Wind Productions; roddrathjen@gmail.com","http://www.cambridgefilmfestival.org.uk/films/2011/the-forest-prince-and-the-pig-man-plus-short/"
"Cane Toads: The Conquest 3D",NULL,"CFF-15","Australia","2010","English",NULL,"85","Kaleidoscope Films","http://www.cambridgefilmfestival.org.uk/films/2011/cane-toads-the-conquest-3d/"
"Local Tastes: Cambridge Shorts",NULL,"CFF-15","UK","2011","English",NULL,"86",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/local-tastes-cambridge-shorts/"
"I Don't Know How She Does It",NULL,"NO CERT","USA","2011","English",NULL,"89",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/i-dont-know-how-she-does-it/"
"Writer in Residence",NULL,"12A","UK","2011","English",NULL,"180",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/-writer-in-residence/"
"Surprise Film 2 - Extra Surprise!","Another Surprise Film","CFF-15","Not Telling","2011","Unknown",NULL,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2011/surprise2-2011/"
