"Artist Name","Title","Location","Internal/External","Details","Medium","Size"
"Sir Frederick Gibberd, CBE, RA     ","Obelisk","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Pencil","66cm x 91.4cm"
"Dame Elisabeth Frink, RA","Boar","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’67 lower right","Pencil drawing with colour wash","76cm x 57cm"
"Dame Elisabeth Frink, RA              ","The Crucifix","Gibberd Gallery, Civic Centre","Internal","Signed and dated ’67 lower right","Pencil and wash","75.6cm x 55.2cm"
"Sir Frederick Gibberd, CBE, RA      ","The Font, Liverpool Metropolitan Cathedral","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Pencil and wash","69.6cm x 52.7cm"
"David Atkins    ","Design for Floor of Liverpool Metropolitan Cathedral","Gibberd Gallery, Civic Centre","Internal",,"Pen, ink and gouache","119.5cm x 100.3cm"
"Ceri Richards  ","Tabernacle Doors","Gibberd Gallery, Civic Centre","Internal",,"Coloured crayon","33.6cm x 44.5cm"
"Michael Middleton    ","Hanging Cups","Gibberd Gallery, Civic Centre","Internal","Dated  6/7/8-10/82","Watercolour","16.5cm x 24.8cm"
"Michael Middleton","Still Life in Kitchen","Gibberd Gallery, Civic Centre","Internal","Inscribed and dated 13/14/15-10/82","Watercolour","16cm x 24.5cm"
"Elizabeth Blackadder, RA            ","Cat and Flowers","Gibberd Gallery, Civic Centre","Internal","Signed and dated 1978 lower left","Watercolour over pencil","56.5cm x 78cm"
"Edward Bawden, CBE, RA       ","Essex in Autumn - Cartoon for Orcades Mural","Gibberd Gallery, Civic Centre","Internal","Signed lower right","Gouache","40.6cm x 22cm"
"Alan Burgess          ","Arnison Crag Triptych","Gibberd Gallery, Civic Centre","Internal","One signed and dated ’92 lower right","3 x watercolours framed as one","15cm x 22cm"
"John Riches","Seascape","Storage, Gibberd Gallery, Civic Centre","Internal","Signed and dated ’75 lower right","Watercolour","38cm x 51cm"
"Ricardo Cinalli   ","Nude","Chair's Store","Internal","Signed and dated lower right and inscribed lower left","Watercolour","68.5cm x 104cm"
"Jennifer Dickson, RA    ","Rose Garden of the Villa Pallavicino","Storage, Gibberd Gallery, Civic Centre","Internal","Signed, inscribed in pencil and numbered 15/20","Coloured aquatint","44cm x 32cm"
"Peter Lee  ","Thames Barrier","Chair's Store","Internal","Signed, dated 1988 inscribed and numbered 38/150","Silkscreen","36cm x 65cm"
"Carlos Dublanc    ","Staircase, Fundacion San Rafael, Buenos Aires","Chair's Store","Internal","Signed and dated ‘90","Pen, ink, wash and coloured crayon","74cm x 54cm"
"Zadok Ben David ","5 silkscreen prints","Gibberd House, Harlow, CM17 0NA","Internal",,"Signed in pencil and dated ’88 / ‘89","52cm x 74cm and 74cm x 52cm"
"Zdzislaw Ruszkowski   ","Sunday Evening in Elija","Storage, Gibberd Gallery, Civic Centre","Internal",,"Oil on board","85cm x 114cm"
"Zdzislaw Ruszkowski      ","Spanish Landscape by Moonlight","Storage, Gibberd Gallery, Civic Centre","Internal",,"Oil on board","90cm x 70cm"
"John Piper","Kilviceuen Mull (Ruined Chapel at Mull) 1975","Storage, Gibberd Gallery, Civic Centre","Internal",,"Watercolour on paper","58cm x 76cm"
"Edward Bawden","The Chapel, Audley End House, Saffron Walden 1975","Storage, Gibberd Gallery, Civic Centre","Internal",,"Watercolour on paper","52cm x 32cm"
,,,,,,
,,,,,,
,,,,,,
"Sir Frederick Gibberd, CBE, RA         ","Obelisk Model","Storage, Gibberd Gallery, Civic Centre","Internal","Carving","Portland stone","Height: 68.6cm Width: 26.7cm"
"Sir Frederick Gibberd, CBE, RA  ","Obelisk","Broad Walk","External","Inscribed, ‘This monument was erected by Harlow Development Corporation to commemorate the building of the New Town, 1947-1980’ ","Polished Portland stone, polished concrete, slate, and bronze","Height: 715cm"
"Jesse Watkins      ","Pisces","Town Park","External",,"Metal structure painted white","Height: 250cm (approx)"
"Christopher Dean             ","Leah Manning","Leah Manning, outside","External","Located outside the building","Relief carving, Portland stone","119.5cm x 80cm"
"Jane Stobart  ","St Mary’s Church, Latton; Longmans; Harlow Market;Gilbeys; The Barn","Leah Manning, internal","External",,,"5 x  lino cuts, a set"
"Nathan David ","Sun Dial 1984 – in the form of a Bicycle","Museum of Harlow Gardens","External",,,"Height: 76cm"
"Christopher Dean ","Wych Elm Composition  1985","Mead Park Depot","External",,"Relief carving. Cement (re-cast from Cement Secar original)","Height: 132cm, Width: 122cm"
"Dan Jones","We Will Be Free  ","Latton Bush Centre","External",,"Oil on board, tondo","Diameter: 131cm"
"Edwina Chaston","Letting Go 1996","Gladden Court, off Southern Way","External",,"Fibrecem concrete","Height: 137cm, Length: 152cm"
"Christopher Salaman","Mother and Child 1982","Storage, Gibberd Gallery, Civic Centre","Internal","Signed and dated 1982, numbered 1/6","Bronze","Height: 39cm"
"Antanas Brazdys         ","Solo Flight","First Avenue, opposite St Mary at Latton Church","External",,"Welded Stainless steel, ","780cm"
"Nicola Burrell","Mill 2007","Latton Mill Lock","External",,"Cast Concrete",
"Anthony Lysycia","The Flowing River 2007","Harlow Lock (Old Harlow)","External",,"Carved Sandstone.",
"Alan Freeman/ Karen Murphy","Footbridge 2007","Spanning the weir at Parndon Mill","External",,"Metal fabricated bridge with 40 glass inserts",
"Angela Godfrey","Flowing Onwards 2007","Parndon Mill Lock","External",,"Dunhouse sandstone",
"Graeme Mitcheson","Short Stort Thoughts 2007","Burnt Mill Lock","External",,"Peak Moor Sandstone",
"Angela Godfrey","Flames","Museum of Harlow Gardens","External",,"Portland stone",
"Madeline Allen","Butterfly","Fifth Avenue residential area","External","Dated 2008","Fabricated stainless steel",
"Michael Austin","Organic Form","Fifth Avenue residential area","External","Dated 2008","Case bronze",
"William Mitchell             ","Lions’ Heads","The Water Gardens","External","Seven reliefs with water spouts","Mixed media including concrete and mosaic","Various sizes   (7)"
"William Mitchell  ","Relief","The Water Gardens, ASDA Wall","External",,"Sand blasted concrete","151cm x 1083cm"
"William Mitchell  ","Four Heraldic Panels (displayed as one) ","The Water Gardens","External",,"Sand blasted concrete relief","Each panel 120cm x 240cm"
"Fred Watson ","Still Life with TV Set 1985","Barbara Castle Health Centre","External",,"Carving, Ancaster limestone","Height: 97cm, Width: 53cm"
"Will Spankie","Shoal","Town Park Paddling Pool","External",,"Kilkenny Stone",
"Henry Moore, OM, CH ","Harlow Family Group, 1954-55","Contact Harlow, Civic Centre","Internal","Carving. Hadene stone.",,"170cm high"
"Paul Mount         ","Ecstasy 1972","Civic Centre waiting area Gd floor","Internal","Stainless steel on slate base, Signed on the base",,"Height: 90cm "
"After George Frederick Watts, RA         ","Physical Energy – Model of the Kensington Gardens. Equestrian Group","Gibberd Gallery, Civic Centre","Internal","Signed and dated ‘T H Wren 1914’","Bronze with brown patina","Height: 50cm"
"Gerda Rubinstein  ","Bust of Sir Frederick Gibberd","Gibberd Gallery, Civic Centre","Internal","Signed with initials and dated ‘71","Cast bronze with brown patina on a black marble base","Height excluding base:33cm"
"Gerda Rubinstein     ","Maquette for the City","Gibberd Gallery, Civic Centre","Internal",,"Bronze","Height: 100cm"
"John Piper, CH      ","An Englishman’s Home","Storage, Gibberd Gallery, Civic Centre","Internal",,"Gouache on plywood","42 panels, Individual size of each panel 159 x 119cm"
"Dame Elizabeth Frink, RA  ","Boar","The Water Gardens","External",,"Bronze with green patina on a bronze base","Height: 90cm"
"Hebe Comerford    ","Bird","The Water Gardens","External",,"Bronze with green patina","Height: 129cm"
"Auguste Rodin               ","Eve","The Water Gardens","External","Signed","Bronze with green patination","Height: 170cm"
"Henry Moore, OM, CH    ","Upright Motive No. 2, 1955-56","The Water Gardens","External",,"Bronze with green patina, edition of 5","Height: 330cm"
"Antanas Brazdys          ","High Flying","Harvey Centre, East Staircase","External",,"Welded stainless steel","Diameter: 105cm"
"Carl Heinz Muller     ","Returning from Work","Harlow Library, outside","External","Signed and dated ’09, with the foundry mark for Guss von Forster of Dusseldorf","Bronze, Mounted on a stone bracket","Length: 50cm (excluding bracket)"
"Lynn Chadwick     ","Trigon, 1961","Broad Walk","External","Numbered ‘II’ (Edition of 4)","Bronze","Height: 230cm"
"Paul Mason ","Vertex","Broad Walk","External",,"Bardiglio Carrara marble on a self coloured concrete base","Height: 184cm"
"Ralph Brown, RA   ","Meat Porters","Market Square","External",,"Bronze with green patination","Height: 210cm"
"F E McWilliam ","Portrait Figure Elisabeth Frink","Harvey Centre, outside North entrance","External",,"Bronze with green patina","180cm"
"Fred Watson        ","Still Life with Books and Bottles","West Square","External",,"Carving, Springwell stone","Height: 250cm"
"Dame Barbara Hepworth ","Contrapuntal Forms","Glebelands","External","From Festival of Britain Exhibition, 1951","Carving, blue limestone","240cm"
"Shelley Fausett  ","Six Cubes","Bush Fair","External",,"Bronze","254cm x 49cm"
"Ralph Brown, RA        ","Sheep Shearer 1955","Momples Road, Ladyshot","External",,"Bronze with green patina","Height: 70cm"
"Claire Guest  ","Cat Mask No.1 ","Tye Green Library","External",,"Carving, bog oak","Width: 99cm"
"Gerda Rubinstein ","Baby, Tondo","William Martin Primary School","External",,"Coloured bronze resin on wood mount","Diameter: 37cm"
"Gerda Rubinstein ","Screen, 1999","Newhall Project Space (temporary relocation July 2010)","External",,"Bronze, welded and worked","Height: 152cm"
"Gerda Rubinstein ","Frances, seated","Purford Green Infant School","External",,"Resin",
"Ernest Adsetts    ","Stone Seat ","Museum of Harlow Gardens","External","3 animal supports with replacement seat by Paul Mason","Carving, Portland stone","Height: 69cm, Length: 137cm"
"Karel Vogel ","Clouds – Two Torsos","Museum of Harlow Gardens","External",,"Ciment fondu cast, modelled","Height: 100cm"
"Antanas Brazdys  ","Metal Sculpture","Museum of Harlow Gardens","External","General condition: this item is showing signs of rusting","Mild steel, welded and painted black","Height: 140cm"
"Leon Underwood     ","Not in Anger","The Stow","External","Signed and dated ‘25  ","Bronze with green patina","Height: 62cm, Cast circa 1975"
"Gerda Rubinstein  ","Julia, 1995","Sewell Harris Close","External",,"Bronze","Height: 85cm"
"Mary Spencer Watson ","Chiron","Moot House","External","Signed and inscribed ‘EIIR’","Carving, Portland stone","Height: 150cm"
"Willi Soukop  ","Donkey 1935","Pittman's Field","External","Signed","Bronze with green patina","90cm"
"P Puget after Jacques Bousseau   ","Soldier bending a Bow","In the picture store at Civic Centre","Internal","Signed","Cast bronze with brown patina","Height: 66cm"
"Anthony Hawken  ","Iceni","Colt Hatch","External",,"Carving, Portland stone","Height: 196cm"
"Alan Sly ","Runaway Rotavator","Pitney Bowes, Elizabeth Way","External",,"Fibreglass cast – rust coloured","Height: 180cm"
"Menache Kadishman","Stone Carving 1","Hollyfield","External",,,"Height: 240cm"
"Menache Kadishman   ","Stone Carving 2","Hollyfield","External",,,"Height: 240cm"
"Robert Koenig","Grizedale Panel 1984","Barbara Castle Health Centre","External",,"Painted wood relief","Height: 220cm"
"Antanas Brazdys   ","Echo  1970","Staple Tye","External",,"Stainless steel, welded","Height: 380cm "
"F E McWilliam        ","Help","St John's ARC, outside","External",,"Bronze with green patina","Height: 178cm"
"Lee Grandjean  ","Chorus 1990","St John's ARC, outside","External",,"Iroko wood carving","Height: 250cm, Width: 70cm"
"Zdzislaw Ruszkowski","The Crucifixion","St Paul's Church","External",,"Oil on board","150cm x 120cm"
"Sally Doig","Wrestlers 1957","St Johns Arc ","External",,"Ciment fondu","Height: 130cm"
"Jane Ackroyd","Cat 1983","Gibberd Gallery, Civic Centre","Internal",,"Mild Steel, Welded  ","Height: 40cm, Length: 64cm"
"Lesley South","Legs No. 4 1972","The Playhouse","External",,"Carved in Plaster and cast in white glass-fibre reinforced resin","Height: 136cm"
"John Mills","Buster Keaton 1981-82","The Playhouse","External",,"Bronze","Height 152cm"
"Betty Rea","Kore1963","High Street, Old Harlow","External",,"Bronze","Height: 150cm"
"Anonymous","Madonna and Child","St Paul's Church, Town Centre","External","Sixteenth century and later","Stone Carving, apinted","Height: 60cm"
"Clare Guest","Cat Mask No.2 1996","Great Parndon Library","External",,"Carving, bog oak","Height: 105cm"
"John Mills  ","Chinese Dynamic 1992","Tesco, Church Langley","External","Signed","Bronze","Height: 270cm, Length: 270cm"
